bin,n,mean_pred,win_rate
"(-0.001, 0.0486]",1325,0.02216615686981524,0.022641509433962263
"(0.0486, 0.0941]",1226,0.06644180967329391,0.06688417618270799
"(0.0941, 0.191]",1273,0.13858086927872318,0.1633935585231736
"(0.191, 0.299]",1273,0.24832645624125504,0.25923016496465046
"(0.299, 0.435]",1275,0.35861658320807044,0.37019607843137253
"(0.435, 0.605]",1274,0.5195315811891251,0.49686028257456827
"(0.605, 0.776]",1274,0.6876953048174209,0.6821036106750392
"(0.776, 0.867]",1336,0.8281124164711596,0.8233532934131736
"(0.867, 0.961]",1221,0.9179895717436637,0.9221949221949222
"(0.961, 1.0]",1266,0.9805676067613052,0.9865718799368088
